Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Technische Bearbeitung und statischer Nachweis für den gesamten Umfang dieser Ausschreibung.;1,0;psch;gaeb;Vergabeunterlagen/GAEB_Datei.X83
1;Ausbau und Entsorgung der Deckschalen, Isolatoren und Dichtungen (auch die inneren) der vorhandenen schräg verlaufenden PR-Fassaden, sowie Reinigung des Entwässerungsfalzes.;14,5;m;gaeb;Vergabeunterlagen/GAEB_Datei.X83
2;Ausbau der Verglasungen in den vorhandenen schräg verlaufenden PR-Fassaden, inkl. den Abtransport und die fachgerechte Entsorgung, gemäß der einschlägigen Vorschriften.;5,0;m²;gaeb;Vergabeunterlagen/GAEB_Datei.X83
3;Ausbau der Tragkonstruktion des Vordachs in Pfosten-Riegel-Konstruktion, Mehrkammer-Hohlprofile aus Aluminium. Ausbau Verglasung, Dichtungen, Deckleisten  s. Vorpositionen. Die Tragkonstruktion ist in die Werkstatt zur weiteren Bearbeitung (gesonderte Position) zu bringen.;1,0;St;gaeb;Vergabeunterlagen/GAEB_Datei.X83
4;Überholungsbeschichtung auf Metallflächen der Pfosten-Riegel-Tragkonstruktio im Außenbereich, deckend, mit Acrylharzlack, einschl. Vorbereitung des Untergrundes mit Schleifvlies sowie Grundierung.;14,5;m;gaeb;Vergabeunterlagen/GAEB_Datei.X83
5;Remontage der Tragkonstruktion des Vordachs für Pfosten-Riegel-Fassadenelement, Mehrkammer-Hohlprofile aus Aluminium. Inkl.  Wiederherstellung der Anschlüsse an angrenzende Bauteile. Einbau Verglasung, Dichtungen, Deckleisten s. Folgepositionen.;1,0;St;gaeb;Vergabeunterlagen/GAEB_Datei.X83
6;Montage neuer SI-Isolatoren, Klemm- und Deckleisten, Butylband, Abklebung, inkl. der Dichtungen im schräg verlaufenden Bereich.;12,0;m;gaeb;Vergabeunterlagen/GAEB_Datei.X83
7;Montage neuer Isolierverglasungen im schrägen Bereich der;5,0;m²;gaeb;Vergabeunterlagen/GAEB_Datei.X83
8;Abschlussblech im oberen Bereich als Verkleidung des Randträgers der Dachverglasung aus Aluminiumblech im Außenbereich.;3,0;m;gaeb;Vergabeunterlagen/GAEB_Datei.X83
1;Ausbau und Entsorgung der Deckschalen, Isolatoren und Dichtungen (auch die inneren) der vorhandenen senkrechten PR-Fassaden, sowie Reinigung des Entwässerungsfalzes.;438,0;m;gaeb;Vergabeunterlagen/GAEB_Datei.X83
