Pos.;Leistung;Menge;Einheit;Quelle;Datei
1;Baustelle f;1,0;Psch;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
2;Baustelle räumen. Soweit nicht für bestimmte Leistungen;1,0;psch;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
1;Kennzeichnen und Sichern der gesamten Baustelle und aller zugeh;1,0;psch;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
2;Bauzaun nach Unterlagen des AG einschl. der erforderli-;300,0;m;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
3;Aufgestellter Bauzaun abbauen und innerhalb der;50,0;m;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
4;Befahrbare Stahlplatten liefern als Schutz des Stahlbetonrohrdurchlass im Zufahrtsbereich;3,0;St;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
5;Auflage von Baggermatratzen aus Kunststoff herstellen und r;150,0;m2;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
1;Baugel;1,0;psch;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
2;Baumstuempfe mit austreibendem Astwerk einschl. Wurzeln roden.;1,0;St;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
3;Oberboden mit Vegetationsdecke abtragen und laden.;440,0;m3;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
4;In Mieten und Haufen gelagerter Oberboden am;440,0;m3;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
5;"Zulage zu den Pos. ""Oberboden andecken"" f";31,0;m;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
6;Verfestigte Bodenfläche aufreißen.;2760,0;m2;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
7;Saatgut liefern.;14,0;kg;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
8;Gras zur Schnellbegr;6,0;kg;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
9;Einsaat der Wiesenfl;2760,0;m2;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
10;M;420,0;m2;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
1;Boden f;95,0;m3;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
2;Bauseits vorhandenen Boden zwischenlagern.;95,0;m3;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
3;Material am Zwischenlager l;95,0;m3;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
4;B;95,0;m3;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
5;Boden liefern, einbauen und verdichten.;75,0;m3;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
6;Beprobung und chemische Untersuchung von Boden (Rohrgrabenaushub / Tragschichten ohne Bindemittel, etc.) aus Zwischenlager / Bereitstellungsfl;3,0;St;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
7;Boden f;15,0;m3;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
8;Zulage fuer Hanschachtung bei s;3,0;m3;gaeb;leistungsbeschreibungen/2026-07-07_LV_RÜB-Lambertzweg.X83
