Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Technische Bearbeitung für den gesamten Umfang;1,0;psch;gaeb;Leistungsverzeichnis\VG-B-0434-2026-0899.X83
20;Treppenkonstruktion aus Stahlprofilen als Walzprofil nach DIN EN 10034, gemäß beigefügter Architektenzeichnung sowie statischer Berechnungen herstellen, liefern und montieren;2,6;t;gaeb;Leistungsverzeichnis\VG-B-0434-2026-0899.X83
30;Stahltreppengeländer gemäß beigefügter Zeichnung sowie Angaben Statik liefern und dem Treppenverlauf folgend montieren, incl. aller Befestigungsmittel, in fertiger Arbeit.;35,0;m;gaeb;Leistungsverzeichnis\VG-B-0434-2026-0899.X83
40;Gitterrostbelag der Podeste, Stahl feuerverzinkt, liefern und auf der vorbeschriebenen Treppenkostruktion mit nicht rostenden Verbindungsmitteln montieren.;18,0;m²;gaeb;Leistungsverzeichnis\VG-B-0434-2026-0899.X83
50;Gitterroststufen der Treppe, wie im beigefügten Plan dargestellt, mit rutschhemmender Antrittskante und seitlichen Anschraublaschen, liefern und auf der vorbeschriebenen Treppenkostruktion mit nicht rostenden Verbindungsmitteln montieren. Incl. aller Befestigungsmittel, in fertiger Arbeit.;42,0;m;gaeb;Leistungsverzeichnis\VG-B-0434-2026-0899.X83
60;1 Stück Alu Riffelblech 5/6,5;2,0;St;gaeb;Leistungsverzeichnis\VG-B-0434-2026-0899.X83
10;Vorarbeiterstunden für unvorhergesehene Arbeiten;5,0;h;gaeb;Leistungsverzeichnis\VG-B-0434-2026-0899.X83
20;Facharbeiterstunden für unvorhergesehene Arbeiten,;5,0;h;gaeb;Leistungsverzeichnis\VG-B-0434-2026-0899.X83
30;Helferstunden für unvorhergesehene Arbeiten nach;5,0;h;gaeb;Leistungsverzeichnis\VG-B-0434-2026-0899.X83
40;Lehrlingsstunden 1. Lehrjahr;5,0;h;gaeb;Leistungsverzeichnis\VG-B-0434-2026-0899.X83
