Pos.;Leistung;Menge;Einheit;Quelle;Datei
10;Geräte, Werkzeuge und sonstige Betriebsmittel, die zur;1,0;psch;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
20;Baustelle von allen Geräten, Anlagen, Einrichtungen und;1,0;psch;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
30;"In­tak­te Bauzaunelemente mit ei­ner Höhe von mind. 1,80m;";390,0;lfm;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
40;"Bo­den­schutz-/Überfahrplatten aus Kunst­stoff; Trag­fä­hig­keit bis 15 Ton­nen; Ober­flä­che, R10 Rutschhemmend lie­fern nach ört­li­cher Wei­sung des AG ver­le­gen. Für die ge­sam­te Bau­zeit vor­hal­ten, an­schlie­ßend rest­los ab­räu­men.";200,0;m²;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
50;Verkehrssicherung an Arbeitsstellen aufstellen, beseitigen, vorhalten, warten und betreiben.;1,0;psch;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
60;"Vierbock fest mit dem Untergrund verbinden; Bauhöhe mind. 1,80m; Seitenlänge 2,0mx2,0m; Schallbrett  (ca. 16m²) mind. 40mm dicke (Sägerau) umlaufend und vollflächig bis 1,80m Bauhöhe an Standpfosten/Rundholz (Zopfdurchmesser 10cm) befestigen/verschrauben; für die gesamte Bauzeit vorhalten, anschließ";2,0;Stck;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
70;Handschachtung nach Weisung des Auftraggebers im Wurzelbereich von Bäumen auf bis zu 40cm breite und 50cm tiefe ausführen. Bodenklasse 4-6. Aushub bauseits Lagern.;10,0;lfm;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
80;Facharbeiter in­kl. An-/Ab­fahrt u. Rüst­zei­ten;10,0;Std;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
90;Helfer in­kl. An-/Ab­fahrt u. Rüst­zei­ten;10,0;Std;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
100;Klein­ge­rä­te bis 3KW Leis­tung;10,0;Std;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
110;Bag­ger bis 3to zul. Ge­samt­ge­wicht in­kl. An-/Ab­trans­port und Be­di­en­per­so­nal.;5,0;Std;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
120;LKW bis 7,5 to zul. Ge­samt­ge­wicht in­kl. Fah­rer;5,0;Std;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
10;Überwachung maschineller Aufgrabungen durch eine Munitions- bzw. Ortungsfachkraft mit Befähigungsschein nach § 20 des Sprengstoffgesetzes auf Anordnung des AG ausführen.;15,0;Std;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
20;Helferkraft für manuelle Freilegung von Anomalien auf Anordnung des AG einsetzen.;15,0;Std;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
30;Sprenggeschützter Bagger für maschinelle Aufgrabung von tiefer liegenden Anomalien auf Anordnung des AG einsetzen.;15,0;Std;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
40;An- und Abfahrt Ortungskraft zur fachtechnischen Begleitung tiefer gehender maschineller Aufgrabungsarbeiten.;1,0;St;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
50;An- und Abfahrt Helferkraft zur fachtechnischen Begleitung tiefer gehender maschineller Aufgrabungsarbeiten.;1,0;St;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
10;Bordsteine aufnehmen.;640,0;m;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
20;Vorhandene Rinne rückbauen und entsorgen.;75,0;m;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
30;Vorhandene Rinnenabläufe (Laufbahn) rückbauen und entsorgen.;36,0;St;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
40;Straßenablauf einschließlich Aufsatz vollständig aus-;1,0;St;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
50;Betonbelag aufnehmen;30,0;m²;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
60;Vorh. Hochsprungmatte inklusive Unterkonstruktion aufnehmen und entsorgen.;1,0;St;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
70;Vorh. Diskusring aufnehmen und entsorgen.;1,0;St;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
80;Vorh. Weitsprunggrube aufnehmen und entsorgen.;60,0;m²;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
90;Zaun aufnehmen, einschließlich Verstrebungen.;70,0;m;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
100;Zaun aufnehmen, einschließlich Verstrebungen.;80,0;m;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
110;Tür/Tor, mit beidseitigen Pfosten, einschließlich der;1,0;St;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
120;Tür/Tor, mit beidseitigen Pfosten, einschließlich der;1,0;St;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
130;Kunststoffbelag aufnehmen und entsorgen.;1370,0;m2;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
140;Asphaltbefestigung aufbrechen und aufnehmen.;1370,0;m2;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
150;Asphaltbefestigung aufbrechen und aufnehmen.;850,0;m2;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
160;Asphaltbefestigung geradlinig trennen.;35,0;m;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
170;Bauliche Anlage abbrechen, Treppen, Palisaden, Einfriedigungsmauer, Betonschwellen, Fundamente, usw.. Abgerechnet wird die feste Masse des abzubrechenden Materials.;6,5;m3;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
180;Geländer nach Unterlagen des AG abbauen und der Verwer-;10,0;m;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
190;Vorh. Holzhackschnitzel aufnehmen und entsorgen.;85,0;m2;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
200;Plattenbelag mit Unterlage aufbrechen und aufnehmen,;10,0;m2;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
210;Korbschaukel inkl. Fundamente rückbauen und entsorgen,;1,0;Stck;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
220;Wippe mit Reifen inkl. Fundamente rückbauen und entsorgen,;1,0;Stck;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
230;Sandkasten inkl. der Fundamente rückbauen und entsorgen,;1,0;Stck;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
240;Vorhandener Drehring umsetzen,;1,0;Stck;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
250;Vorhandene Bank-/Tischkombination umsetzen,;3,0;Stck;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
260;"Kleinfeldtore (mittlere Ebene) rückbauen und entsorgen;";2,0;Stck;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
270;"Kleinfeldtor (untere Ebene) rückbauen und entsorgen;";2,0;Stck;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
280;Hecken und Buschwerk jeder Art mit Wurzelwerk roden.;25,0;m2;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
290;Zaun aufnehmen, einschließlich Verstrebungen.;220,0;m;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
300;Querrinne ausbauen und entsorgen;7,0;m;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
310;Material- und Lagercontainer (Schnellbaucontainer) umsetzen;2,0;St;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
320;Blockhütte abbrechen und entsorgen,;1,0;psch;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
10;Suchschlitze herstellen;1,5;m3;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
20;Boden bzw. Fels aus Abtragsbereichen lösen und seitlich im Baustellenbereich lagern.;1350,0;m3;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
30;Vorh. Tennenbelag aufnehmen und entsorgen.;400,0;m²;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
40;Vorhanderner Unterbau Tennenplatz aus Abtragsbereichen lösen und seitlich im Baustellenbereich lagern.;120,0;m3;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
50;"Bo­den­ana­ly­se nach LAGA M 20. Pro­be­nah­me an ge­la­ger­ten Bo­den­mas­sen, Er­stel­lung von Mischproben zur Abfalldeklaration nach LAGA-Merkblatt 20; Ta­bel­le II. 1.2-1 Mindestuntersuchungsprogramm für Bö­den in­kl. PAK: La­bor­prü­fung und Er­stel­lung ei­nes Un­ter­su­chungs­be­rich­tes.";1,0;psch;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
60;Zulage zu vorbeschriebener Erdbewegung, für Material;670,0;m3;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
70;Zulage zu vorbeschriebener Erdbewegung, für Material;250,0;m3;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
80;Seitlich gelagerter Boden im Baustellenbereich aufnehmen, transportieren und nach Angabe des AG verfüllen/einplanieren.;550,0;m3;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
90;Geeignetes BVM nach Wahl des AN zur Untergrundverbesserung und;320,0;m3;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
100;Frostschutzschicht herstellen. Erschwernisse durch;340,0;m3;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
110;Spritzschutz liefern und einbauen.;3,0;to;gaeb;leistungsbeschreibungen/Umgestaltung Aussenbereich GS Algenrodt.X83
