notices,fragmente,beispiel_varianten
1457,24,Max- Planck- Gesellschaft zur Förderung der Wissenschaften e. V. || Max-Planck-Gesellschaft zur Foerderung der Wissenschaften E. V. || Max-Planck-Gesellschaft zur Foerderung der Wissenschaften e.V. || Max-Planck-Gesellschaft zur Förderung der Wissenschaften E. V. || Max-Planck-Gesellschaft zur Förderung der Wissenschaften e. V. || Max-Planck-Gesellschaft zur Förderung der Wissenschaften e.V.
1450,5,Zentraldienst der Polizei des Landes Brandenburg
1441,7,Karlsruher Institut Fuer Technologie (kit) || Karlsruher Institut für Technologie (KIT) || Karlsruher Institut für Technologie (kit) || Karlsruher Institut für Technologie KIT
1438,3,Stadt Landshut
1425,5,Universitaetsklinikum Aachen Aoer || Universitätsklinikum Aachen AöR
1414,4,Stadt Dortmund
1379,15,LMBV Lausitzer Mitteldeutsche Bergbau-Verwaltungsgesellschaft mbH || LMBV Lausitzer und Mitteldeutsche Bergbau- Verwaltungsgesellschaft mbH || LMBV Lausitzer und Mitteldeutsche Bergbau-Verwaltungsgesellschaft mbH || Lmbv - Lausitzer und Mitteldeutsche Bergbau-Verwaltungsgesellschaft mbH
1367,3,"Stadt Wuerzburg, Fachbereich Schule || Stadt Würzburg Fachbereich Schule || Stadt Würzburg, Fachbereich Schule"
1347,3,"Staatsbetrieb Saechsisches Immobilien- und Baumanagement, Niederlassung Dresden || Staatsbetrieb Sächsisches Immobilien- und Baumanagement, Niederlassung Dresden 1 || Staatsbetrieb Sächsisches Immobilien- und Baumanagement, Niederlassung Dresden 2"
1313,9,Bundesministerium Fuer Bildung und Forschung || Bundesministerium Fuer Bildung und Forschung Referat 513 || Bundesministerium für Bildung und Forschung
1310,13,Autobahn GmbH des Bundes - NL West || Die Autobahn GmbH des Bundes - NL West || Die Autobahn GmbH des Bundes NL West
1307,6,Gebaeudemanagement Stadt Wuppertal || Gebaeudemanagement der Stadt Wuppertal || Gebäudemanagement Stadt Wuppertal || Gebäudemanagement der Stadt Wuppertal
